defailance_0	0.0	0.0	None
defailance_1	0.0	0.0	None
defailance_2	50.0	0.0	None
defailance_3	0.0	0.0	None
inUse_0_thf1	1.0	0	1
inUse_0_thf2	0.0	0	1
inUse_0_thf3	0.0	0	1
inUse_1_thf1	1.0	0	1
inUse_1_thf2	1.0	0	1
inUse_1_thf3	1.0	0	1
inUse_2_thf1	0.0	0	1
inUse_2_thf2	1.0	0	1
inUse_2_thf3	1.0	0	1
inUse_3_thf1	1.0	0	1
inUse_3_thf2	0.0	0	1
inUse_3_thf3	1.0	0	1
prod_0_thf1	1000.0	0.0	1000
prod_0_thf2	0.0	0.0	550
prod_0_thf3	0.0	0.0	200
prod_1_thf1	1000.0	0.0	1000
prod_1_thf2	500.0	0.0	550
prod_1_thf3	100.0	0.0	200
prod_2_thf1	0.0	0.0	0
prod_2_thf2	550.0	0.0	550
prod_2_thf3	200.0	0.0	200
prod_3_thf1	800.0	0.0	1000
prod_3_thf2	0.0	0.0	550
prod_3_thf3	100.0	0.0	200
turnon_0_thf1	1.0	0	1
turnon_0_thf2	0.0	0	1
turnon_0_thf3	0.0	0	1
turnon_1_thf1	0.0	0	1
turnon_1_thf2	1.0	0	1
turnon_1_thf3	1.0	0	1
turnon_2_thf1	0.0	0	1
turnon_2_thf2	0.0	0	1
turnon_2_thf3	0.0	0	1
turnon_3_thf1	1.0	0	1
turnon_3_thf2	0.0	0	1
turnon_3_thf3	0.0	0	1
